trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600036.SH,16.56,17.07,16.25,16.68,16.59,0.09,0.54,5001871.28,8302084.428,0
2015-01-06,600036.SH,16.4,17.2,16.29,16.42,16.68,-0.26,-1.56,4268772.34,7100974.463,0
2015-01-07,600036.SH,16.2,16.56,15.94,16.16,16.42,-0.26,-1.58,2961696.04,4806397.453,0
2015-01-08,600036.SH,16.25,16.34,15.53,15.57,16.16,-0.59,-3.65,2929211.1,4621824.801,0
2015-01-09,600036.SH,15.56,16.56,15.36,15.71,15.57,0.14,0.9,4613634.97,7356771.842,0
2015-01-12,600036.SH,15.7,15.9,15.2,15.6,15.71,-0.11,-0.7,2870027.87,4465049.959,0
2015-01-13,600036.SH,15.52,15.78,15.35,15.43,15.6,-0.17,-1.09,1702516.1,2646920.635,0
2015-01-14,600036.SH,15.57,15.9,15.5,15.71,15.43,0.28,1.81,2271408.65,3573843.577,0
2015-01-15,600036.SH,15.71,16.19,15.6,16.18,15.71,0.47,2.99,2646841.68,4216830.599,0
2015-01-16,600036.SH,16.27,16.5,16.07,16.24,16.18,0.06,0.37,3125507.22,5096707.054,0
2015-01-19,600036.SH,14.62,15.4,14.62,14.63,16.24,-1.61,-9.91,4990406.02,7432124.883,0
2015-01-20,600036.SH,14.75,14.98,14.34,14.64,14.63,0.01,0.07,3044808.93,4468888.256,0
2015-01-21,600036.SH,14.8,15.47,14.59,15.3,14.64,0.66,4.51,3470440.52,5208895.152,0
2015-01-22,600036.SH,15.3,15.31,14.96,15.13,15.3,-0.17,-1.11,2156662.87,3267085.618,0
2015-01-23,600036.SH,15.23,15.5,15.11,15.17,15.13,0.04,0.26,2494226.6,3814173.081,0
2015-01-26,600036.SH,15.19,15.24,14.87,15.03,15.17,-0.14,-0.92,1780964.42,2671404.494,0
2015-01-27,600036.SH,15.05,15.1,14.45,14.71,15.03,-0.32,-2.13,2569419.22,3785792.881,0
2015-01-28,600036.SH,14.6,14.84,14.41,14.53,14.71,-0.18,-1.22,1741448.15,2541837.336,0
2015-01-29,600036.SH,14.31,14.43,14.15,14.37,14.53,-0.16,-1.1,1775306.85,2541569.62,0
2015-01-30,600036.SH,14.43,14.62,14.2,14.34,14.37,-0.03,-0.21,1818087.21,2625624.647,0
2015-02-02,600036.SH,13.98,14.3,13.86,14.09,14.34,-0.25,-1.74,1557868.28,2200454.412,0
2015-02-03,600036.SH,14.35,14.6,14.2,14.57,14.09,0.48,3.41,1748843.21,2516020.347,0
2015-02-04,600036.SH,14.6,14.72,14.28,14.3,14.57,-0.27,-1.85,1296214.66,1886445.069,0
