trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,000858.SZ,21.59,23.65,21.51,23.65,21.5,2.15,10.0,1673427.64,3804923.2824,0
2015-01-06,000858.SZ,23.65,23.98,23.28,23.76,23.65,0.11,0.47,1280984.99,3026412.8175,0
2015-01-07,000858.SZ,23.78,24.52,23.23,23.48,23.76,-0.28,-1.18,930954.2,2215338.5038,0
2015-01-08,000858.SZ,23.55,24.39,23.21,23.93,23.48,0.45,1.92,886984.87,2110107.1699,0
2015-01-09,000858.SZ,23.72,24.95,23.71,23.72,23.93,-0.21,-0.88,972303.66,2367707.5894,0
2015-01-12,000858.SZ,23.49,23.58,22.71,23.04,23.72,-0.68,-2.87,707087.19,1636654.0753,0
2015-01-13,000858.SZ,22.92,23.38,22.76,22.97,23.04,-0.07,-0.3,368958.97,850294.0645,0
2015-01-14,000858.SZ,22.98,23.2,22.18,22.33,22.97,-0.64,-2.79,561031.11,1267417.8607,0
2015-01-15,000858.SZ,22.35,22.87,22.09,22.86,22.33,0.53,2.37,424338.56,953670.3611,0
2015-01-16,000858.SZ,23.02,23.4,22.88,23.37,22.86,0.51,2.23,476743.05,1103523.3413,0
2015-01-19,000858.SZ,22.3,22.98,21.1,21.55,23.37,-1.82,-7.79,756779.34,1682074.6611,0
2015-01-20,000858.SZ,21.78,22.38,21.65,22.11,21.55,0.56,2.6,527851.48,1163823.5725,0
2015-01-21,000858.SZ,22.47,22.85,22.05,22.77,22.11,0.66,2.99,489563.88,1103695.6333,0
2015-01-22,000858.SZ,22.85,23.28,22.63,22.94,22.77,0.17,0.75,460675.75,1056323.347,0
2015-01-23,000858.SZ,22.96,23.07,22.25,22.41,22.94,-0.53,-2.31,521083.15,1177290.6536,0
2015-01-26,000858.SZ,22.43,22.76,22.21,22.69,22.41,0.28,1.25,403984.7,907596.6237,0
2015-01-27,000858.SZ,22.71,23.16,22.55,23.03,22.69,0.34,1.5,655775.29,1500762.8424,0
2015-01-28,000858.SZ,22.85,23.12,22.65,22.7,23.03,-0.33,-1.43,365013.79,834904.5688,0
2015-01-29,000858.SZ,22.49,22.64,22.2,22.23,22.7,-0.47,-2.07,330537.58,738994.4624,0
2015-01-30,000858.SZ,22.3,22.62,22.2,22.2,22.23,-0.03,-0.14,304848.04,683442.3018,0
2015-02-02,000858.SZ,21.84,22.0,21.4,21.46,22.2,-0.74,-3.33,363009.5,784198.1372,0
2015-02-03,000858.SZ,21.65,21.76,21.3,21.7,21.46,0.24,1.12,305806.87,658352.8495,0
2015-02-04,000858.SZ,21.71,21.98,21.53,21.56,21.7,-0.14,-0.65,274984.56,597942.788,0
2015-02-05,000858.SZ,21.82,21.95,21.1,21.15,21.56,-0.41,-1.9,322855.68,696131.6683,0
2015-02-06,000858.SZ,21.08,21.21,20.21,20.33,21.15,-0.82,-3.88,427790.56,882436.886,0
2015-02-09,000858.SZ,20.34,20.83,20.3,20.77,20.33,0.44,2.16,307058.13,635654.4772,0
2015-02-10,000858.SZ,20.77,21.49,20.77,21.15,20.77,0.38,1.83,278326.77,588688.755,0
2015-02-11,000858.SZ,21.18,21.32,21.02,21.13,21.15,-0.02,-0.09,172477.33,365326.4271,0
2015-02-12,000858.SZ,21.21,21.64,21.17,21.53,21.13,0.4,1.89,269649.91,577766.8607,0
2015-02-13,000858.SZ,21.7,21.78,21.44,21.48,21.53,-0.05,-0.23,329246.57,712611.8566,0
2015-02-16,000858.SZ,21.55,21.55,21.15,21.39,21.48,-0.09,-0.42,288476.55,614730.9553,0
2015-02-17,000858.SZ,21.45,21.54,21.19,21.27,21.39,-0.12,-0.56,299423.2,638878.0023,0
2015-02-25,000858.SZ,21.28,21.34,20.61,20.72,21.27,-0.55,-2.59,434505.85,907219.7045,0
2015-02-26,000858.SZ,20.69,21.24,20.61,21.22,20.72,0.5,2.41,293709.05,616116.0262,0
2015-02-27,000858.SZ,21.3,21.64,21.26,21.38,21.22,0.16,0.75,471028.33,1009783.0664,0
2015-03-02,000858.SZ,21.45,21.45,21.08,21.24,21.38,-0.14,-0.65,460759.49,976106.9395,0
2015-03-03,000858.SZ,21.2,21.2,20.78,20.83,21.24,-0.41,-1.93,384563.14,806020.7583,0
2015-03-04,000858.SZ,20.93,21.08,20.78,21.04,20.83,0.21,1.01,282399.03,591907.1836,0
2015-03-05,000858.SZ,21.01,21.06,20.51,20.73,21.04,-0.31,-1.47,331191.19,687397.1233,0
2015-03-06,000858.SZ,20.79,21.06,20.68,20.92,20.73,0.19,0.92,326828.35,683272.0155,0
2015-03-09,000858.SZ,20.86,21.28,20.66,21.27,20.92,0.35,1.67,400692.06,839462.4231,0
2015-03-10,000858.SZ,21.29,21.48,21.18,21.31,21.27,0.04,0.19,404489.05,862732.4947,0
2015-03-11,000858.SZ,21.3,21.6,21.24,21.3,21.31,-0.01,-0.05,364304.28,780151.9238,0
2015-03-12,000858.SZ,21.45,21.74,21.24,21.7,21.3,0.4,1.88,540556.28,1165160.3973,0
2015-03-13,000858.SZ,21.75,21.8,21.5,21.64,21.7,-0.06,-0.28,377907.05,818028.7001,0
2015-03-16,000858.SZ,21.77,22.19,21.7,22.18,21.64,0.54,2.5,510504.87,1124314.5131,0
2015-03-17,000858.SZ,22.29,22.86,22.15,22.48,22.18,0.3,1.35,734385.27,1653452.5845,0
2015-03-18,000858.SZ,22.49,22.86,22.33,22.84,22.48,0.36,1.6,612525.27,1389880.9752,0
2015-03-19,000858.SZ,22.75,22.76,22.24,22.42,22.84,-0.42,-1.84,575195.1,1294801.5059,0
2015-03-20,000858.SZ,22.47,22.87,22.41,22.63,22.42,0.21,0.94,516933.48,1169876.4879,0
2015-03-23,000858.SZ,22.72,22.98,22.66,22.84,22.63,0.21,0.93,648065.49,1477464.2929,0
2015-03-24,000858.SZ,23.0,23.18,22.4,22.76,22.84,-0.08,-0.35,862353.26,1969214.4301,0
2015-03-25,000858.SZ,22.76,22.76,22.41,22.48,22.76,-0.28,-1.23,571970.77,1289295.1123,0
2015-03-26,000858.SZ,22.49,23.42,22.41,23.34,22.48,0.86,3.83,1025305.76,2357791.2174,0
2015-03-27,000858.SZ,23.38,23.45,22.95,23.13,23.34,-0.21,-0.9,579686.41,1340118.2284,0
2015-03-30,000858.SZ,23.19,23.62,23.06,23.53,23.13,0.4,1.73,710539.97,1660055.1299,0
2015-03-31,000858.SZ,23.49,24.0,23.1,23.18,23.53,-0.35,-1.49,829189.95,1951956.2098,0
2015-04-01,000858.SZ,23.13,23.26,23.0,23.21,23.18,0.03,0.13,764227.56,1767887.5776,0
2015-04-02,000858.SZ,23.25,23.58,23.09,23.36,23.21,0.15,0.65,650735.99,1518019.9391,0
2015-04-03,000858.SZ,23.18,23.47,23.14,23.41,23.36,0.05,0.21,627566.38,1465018.3025,0
2015-04-07,000858.SZ,23.52,24.3,23.45,24.18,23.41,0.77,3.29,1025501.83,2447635.1674,0
2015-04-08,000858.SZ,24.2,24.76,23.81,24.17,24.18,-0.01,-0.04,1028817.07,2501701.1095,0
2015-04-09,000858.SZ,24.21,24.36,23.31,23.61,24.17,-0.56,-2.32,774139.69,1839300.1231,0
2015-04-10,000858.SZ,23.61,24.28,23.53,24.17,23.61,0.56,2.37,792327.75,1899312.6819,0
2015-04-13,000858.SZ,24.28,24.88,24.04,24.67,24.17,0.5,2.07,836057.62,2044776.6792,0
2015-04-14,000858.SZ,24.65,25.89,24.52,25.06,24.67,0.39,1.58,967708.58,2440503.4636,0
2015-04-15,000858.SZ,25.07,25.47,24.5,24.78,25.06,-0.28,-1.12,715962.31,1790380.6438,0
