trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600027.SH,5.8162,6.1681,5.7072,6.0508,5.8664,0.18440000000000012,3.1433,2035869.3,1453738.242,0
2015-01-06,600027.SH,5.9754,5.9754,5.7407,5.8245,6.0508,-0.22630000000000017,-3.74,1383369.0,964400.424,0
2015-01-07,600027.SH,5.7826,6.0005,5.7072,5.9251,5.8245,0.10060000000000002,1.7272,988279.98,689079.81,0
2015-01-08,600027.SH,5.9083,5.9083,5.5815,5.5899,5.9251,-0.3351999999999995,-5.6573,952571.18,648272.058,0
2015-01-09,600027.SH,5.5396,5.6988,5.3971,5.4139,5.5899,-0.17600000000000016,-3.1485,1114989.5,733208.788,0
2015-01-12,600027.SH,5.3468,5.3468,5.1122,5.2044,5.4139,-0.20950000000000024,-3.8697,720098.21,448473.803,0
2015-01-13,600027.SH,5.1457,5.2798,5.1457,5.1792,5.2044,-0.02519999999999989,-0.4842,420401.15,261557.785,0
2015-01-14,600027.SH,5.2295,5.3049,5.1709,5.2966,5.1792,0.11739999999999995,2.2668,567448.83,355131.728,0
2015-01-15,600027.SH,5.3133,5.4642,5.2714,5.4558,5.2966,0.15920000000000023,3.0057,691754.61,441753.972,0
2015-01-16,600027.SH,5.5312,5.5647,5.372,5.4055,5.4558,-0.05030000000000001,-0.922,683436.13,444661.765,0
2015-01-19,600027.SH,5.1122,5.1792,4.8691,4.8691,5.4055,-0.5363999999999995,-9.9232,910064.84,540909.814,0
2015-01-20,600027.SH,4.8608,5.0368,4.8272,4.9278,4.8691,0.058699999999999974,1.2056,769882.61,452173.545,0
2015-01-21,600027.SH,4.9362,5.1792,4.8775,5.1457,4.9278,0.21789999999999932,4.4219,802146.47,483876.755,0
2015-01-22,600027.SH,5.1541,5.2211,5.0703,5.1457,5.1457,0.0,0.0,639077.64,391554.777,0
2015-01-23,600027.SH,5.1541,5.2211,5.0954,5.1122,5.1457,-0.033500000000000085,-0.651,629704.69,386728.219,0
2015-01-26,600027.SH,5.1122,5.1709,5.0451,5.1625,5.1122,0.05030000000000001,0.9839,575960.1,351262.693,0
2015-01-27,600027.SH,5.2128,5.2211,5.0116,5.1625,5.1625,0.0,0.0,804640.48,491911.045,0
2015-01-28,600027.SH,5.0954,5.1373,5.0368,5.0451,5.1625,-0.11739999999999995,-2.2741,561201.33,340810.966,0
