trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600027.SH,6.94,7.36,6.81,7.22,7.0,0.22,3.14,2035869.3,1453738.242,0
2015-01-06,600027.SH,7.13,7.13,6.85,6.95,7.22,-0.27,-3.74,1383369.0,964400.424,0
2015-01-07,600027.SH,6.9,7.16,6.81,7.07,6.95,0.12,1.73,988279.98,689079.81,0
2015-01-08,600027.SH,7.05,7.05,6.66,6.67,7.07,-0.4,-5.66,952571.18,648272.058,0
2015-01-09,600027.SH,6.61,6.8,6.44,6.46,6.67,-0.21,-3.15,1114989.5,733208.788,0
2015-01-12,600027.SH,6.38,6.38,6.1,6.21,6.46,-0.25,-3.87,720098.21,448473.803,0
2015-01-13,600027.SH,6.14,6.3,6.14,6.18,6.21,-0.03,-0.48,420401.15,261557.785,0
2015-01-14,600027.SH,6.24,6.33,6.17,6.32,6.18,0.14,2.27,567448.83,355131.728,0
2015-01-15,600027.SH,6.34,6.52,6.29,6.51,6.32,0.19,3.01,691754.61,441753.972,0
2015-01-16,600027.SH,6.6,6.64,6.41,6.45,6.51,-0.06,-0.92,683436.13,444661.765,0
2015-01-19,600027.SH,6.1,6.18,5.81,5.81,6.45,-0.64,-9.92,910064.84,540909.814,0
2015-01-20,600027.SH,5.8,6.01,5.76,5.88,5.81,0.07,1.2,769882.61,452173.545,0
2015-01-21,600027.SH,5.89,6.18,5.82,6.14,5.88,0.26,4.42,802146.47,483876.755,0
2015-01-22,600027.SH,6.15,6.23,6.05,6.14,6.14,0.0,0.0,639077.64,391554.777,0
2015-01-23,600027.SH,6.15,6.23,6.08,6.1,6.14,-0.04,-0.65,629704.69,386728.219,0
2015-01-26,600027.SH,6.1,6.17,6.02,6.16,6.1,0.06,0.98,575960.1,351262.693,0
2015-01-27,600027.SH,6.22,6.23,5.98,6.16,6.16,0.0,0.0,804640.48,491911.045,0
2015-01-28,600027.SH,6.08,6.13,6.01,6.02,6.16,-0.14,-2.27,561201.33,340810.966,0
2015-01-29,600027.SH,5.96,6.17,5.92,6.1,6.02,0.08,1.33,772054.16,469820.132,0
2015-01-30,600027.SH,6.15,6.31,6.11,6.17,6.1,0.07,1.15,1197354.32,745269.557,0
2015-02-02,600027.SH,6.05,6.05,5.81,5.84,6.17,-0.33,-5.35,742731.35,438470.198,0
2015-02-03,600027.SH,5.84,5.92,5.69,5.86,5.84,0.02,0.34,733291.41,424279.915,0
2015-02-04,600027.SH,5.86,5.95,5.81,5.83,5.86,-0.03,-0.51,484185.77,284630.55,0
2015-02-05,600027.SH,5.93,5.93,5.5,5.58,5.83,-0.25,-4.29,1101206.68,625076.435,0
2015-02-06,600027.SH,5.5,5.5,5.17,5.25,5.58,-0.33,-5.91,851079.55,453162.097,0
2015-02-09,600027.SH,5.19,5.34,5.14,5.31,5.25,0.06,1.14,480729.14,252493.105,0
2015-02-10,600027.SH,5.29,5.47,5.25,5.44,5.31,0.13,2.45,434898.05,234501.309,0
2015-02-11,600027.SH,5.45,5.49,5.41,5.44,5.44,0.0,0.0,310341.57,168993.37,0
2015-02-12,600027.SH,5.45,5.57,5.4,5.53,5.44,0.09,1.65,344061.14,188800.895,0
2015-02-13,600027.SH,5.55,5.64,5.5,5.57,5.53,0.04,0.72,410478.2,229086.354,0
2015-02-16,600027.SH,5.57,5.62,5.51,5.54,5.57,-0.03,-0.54,287683.52,159353.72,0
2015-02-17,600027.SH,5.55,5.61,5.53,5.58,5.54,0.04,0.72,301165.23,167844.15,0
2015-02-25,600027.SH,5.59,5.76,5.54,5.67,5.58,0.09,1.61,507406.12,287335.495,0
2015-02-26,600027.SH,5.66,5.84,5.63,5.84,5.67,0.17,3.0,626931.08,360972.243,0
2015-02-27,600027.SH,5.85,5.94,5.79,5.84,5.84,0.0,0.0,569253.85,333904.383,0
2015-03-02,600027.SH,5.89,6.02,5.85,6.01,5.84,0.17,2.91,687096.61,407508.885,0
2015-03-03,600027.SH,6.01,6.01,5.78,5.8,6.01,-0.21,-3.49,663894.0,389729.753,0
2015-03-04,600027.SH,5.79,5.84,5.76,5.81,5.8,0.01,0.17,367230.16,213195.463,0
2015-03-05,600027.SH,5.8,5.81,5.41,5.63,5.81,-0.18,-3.1,569568.34,321254.604,0
2015-03-06,600027.SH,5.63,5.69,5.59,5.65,5.63,0.02,0.36,321304.5,181495.584,0
2015-03-09,600027.SH,5.59,5.76,5.51,5.74,5.65,0.09,1.59,386432.76,218155.394,0
2015-03-10,600027.SH,5.73,5.81,5.7,5.76,5.74,0.02,0.35,367754.26,212151.055,0
2015-03-11,600027.SH,5.76,5.89,5.74,5.8,5.76,0.04,0.69,436202.59,254067.435,0
2015-03-12,600027.SH,5.83,6.0,5.81,6.0,5.8,0.2,3.45,721587.39,426506.778,0
2015-03-13,600027.SH,6.0,6.03,5.9,5.97,6.0,-0.03,-0.5,678235.0,404210.794,0
2015-03-16,600027.SH,5.98,6.06,5.95,6.03,5.97,0.06,1.01,843419.4,507109.797,0
2015-03-17,600027.SH,6.05,6.47,6.01,6.27,6.03,0.24,3.98,1476394.83,919026.184,0
2015-03-18,600027.SH,6.3,6.47,6.24,6.41,6.27,0.14,2.23,1067153.45,677873.712,0
2015-03-19,600027.SH,6.4,6.54,6.3,6.49,6.41,0.08,1.25,1309340.13,840570.789,0
2015-03-20,600027.SH,6.5,6.61,6.39,6.48,6.49,-0.01,-0.15,1052912.9,682075.514,0
2015-03-23,600027.SH,6.58,6.79,6.54,6.78,6.48,0.3,4.63,1644138.61,1094921.734,0
