trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,openinterest
2015-01-05,600027.SH,4.9382,5.237,4.8457,5.1374,4.9809,0.1565000000000003,3.142,2035869.3,1453738.242,0
2015-01-06,600027.SH,5.0734,5.0734,4.8741,4.9453,5.1374,-0.19210000000000083,-3.7392,1383369.0,964400.424,0
2015-01-07,600027.SH,4.9097,5.0947,4.8457,5.0307,4.9453,0.08540000000000081,1.7269,988279.98,689079.81,0
2015-01-08,600027.SH,5.0164,5.0164,4.7389,4.7461,5.0307,-0.2846000000000002,-5.6573,952571.18,648272.058,0
2015-01-09,600027.SH,4.7034,4.8386,4.5824,4.5966,4.7461,-0.14950000000000063,-3.15,1114989.5,733208.788,0
2015-01-12,600027.SH,4.5397,4.5397,4.3405,4.4187,4.5966,-0.17789999999999928,-3.8703,720098.21,448473.803,0
2015-01-13,600027.SH,4.3689,4.4828,4.3689,4.3974,4.4187,-0.021300000000000097,-0.482,420401.15,261557.785,0
2015-01-14,600027.SH,4.4401,4.5041,4.3903,4.497,4.3974,0.09959999999999969,2.265,567448.83,355131.728,0
2015-01-15,600027.SH,4.5112,4.6393,4.4757,4.6322,4.497,0.1352000000000002,3.0064,691754.61,441753.972,0
2015-01-16,600027.SH,4.6962,4.7247,4.561,4.5895,4.6322,-0.04269999999999996,-0.9218,683436.13,444661.765,0
2015-01-19,600027.SH,4.3405,4.3974,4.1341,4.1341,4.5895,-0.4554,-9.9226,910064.84,540909.814,0
2015-01-20,600027.SH,4.127,4.2764,4.0985,4.1839,4.1341,0.04980000000000029,1.2046,769882.61,452173.545,0
2015-01-21,600027.SH,4.191,4.3974,4.1412,4.3689,4.1839,0.1849999999999996,4.4217,802146.47,483876.755,0
2015-01-22,600027.SH,4.376,4.433,4.3049,4.3689,4.3689,0.0,0.0,639077.64,391554.777,0
2015-01-23,600027.SH,4.376,4.433,4.3262,4.3405,4.3689,-0.028400000000000425,-0.65,629704.69,386728.219,0
2015-01-26,600027.SH,4.3405,4.3903,4.2835,4.3832,4.3405,0.04270000000000085,0.9838,575960.1,351262.693,0
2015-01-27,600027.SH,4.4259,4.433,4.2551,4.3832,4.3832,0.0,0.0,804640.48,491911.045,0
2015-01-28,600027.SH,4.3262,4.3618,4.2764,4.2835,4.3832,-0.09970000000000034,-2.2746,561201.33,340810.966,0
2015-01-29,600027.SH,4.2409,4.3903,4.2124,4.3405,4.2835,0.056999999999999496,1.3307,772054.16,469820.132,0
2015-01-30,600027.SH,4.376,4.4899,4.3476,4.3903,4.3405,0.04980000000000029,1.1473,1197354.32,745269.557,0
2015-02-02,600027.SH,4.3049,4.3049,4.1341,4.1555,4.3903,-0.2347999999999999,-5.3482,742731.35,438470.198,0
2015-02-03,600027.SH,4.1555,4.2124,4.0487,4.1697,4.1555,0.014199999999999768,0.3417,733291.41,424279.915,0
